OrgID,EnrollDate,ChurnDate,OrgSize,Industry,IndustryGroup,Enrollment Plan,PromoType,Acquisition Channel,F28 Active Rate,Avg Lifetime Active,F28 Cc Flag,eLTV/CAC,Churned,Enrollment Duration,User_id
402468,2021-10-04,2021-10-20,2-6,General Contractor,General Contractor,Large,No Promo,BD,0.46399999999999997,0.18899999999999997,1,6.2,1,16.0,40246820211004
402484,2021-10-04,,2-6,Heating & Air Conditioning,Heating & Air Conditioning,Small,One Month,Marketing - Unpaid,0.214,0.18899999999999997,0,3.6,0,431.0,40248420211004
402485,2021-10-04,,2-6,Landscaping & Lawn,Landscaping & Lawn,Small,One Month,Sales,0.0,0.013000000000000001,0,1.6,0,431.0,40248520211004
402491,2021-10-04,,0-1,Fireplace & Chimney,Other,Small,One Month,Marketing - Unpaid,0.7140000000000001,0.581,0,2.5,0,431.0,40249120211004
402492,2021-10-04,,2-6,Glass,Other,Small,One Month,Sales,0.036000000000000004,0.027000000000000003,0,2.2,0,431.0,40249220211004
402499,2021-10-04,,2-6,Drywall,Other,Small,One Month,Sales,0.929,0.851,1,1.9,0,431.0,40249920211004
402501,2021-10-04,,2-6,Heating & Air Conditioning,Heating & Air Conditioning,Small,No Promo,Marketing - Paid,0.679,0.675,1,3.8,0,431.0,40250120211004
402503,2021-10-05,2021-11-04,2-6,Window & Exterior Cleaning,Window & Exterior,Starter,One Month,Marketing - Paid,0.179,0.094,0,0.8,1,30.0,40250320211005
402504,2021-10-05,2021-11-04,0-1,Junk Removal,Other,Small,One Month,Marketing - Paid,0.0,0.027000000000000003,0,2.4,1,30.0,40250420211005
402508,2021-10-04,,0-1,Landscaping & Lawn,Landscaping & Lawn,Starter,One Month,Sales,0.0,0.013000000000000001,0,0.8,0,431.0,40250820211004
402510,2021-10-04,,2-6,Plumbing,Plumbing,Small,One Month,Marketing - Paid,0.607,0.7020000000000001,0,2.5,0,431.0,40251020211004
402511,2021-10-04,2021-11-03,0-1,Restoration,Other,Starter,One Month,Sales,0.036000000000000004,0.008,0,1.1,1,30.0,40251120211004
402518,2021-10-04,,0-1,Heating & Air Conditioning,Heating & Air Conditioning,Small,One Month,Marketing - Unpaid,0.0,0.121,0,3.0,0,431.0,40251820211004
402521,2021-10-04,,0-1,Automotive,Other,Small,One Month,Marketing - Unpaid,0.39299999999999996,0.43200000000000005,0,1.9,0,431.0,40252120211004
402528,2021-10-05,,0-1,General Contractor,General Contractor,Starter,One Month,Marketing - Paid,0.14300000000000002,0.20199999999999999,0,0.9,0,430.0,40252820211005
402529,2021-10-04,,0-1,Heating & Air Conditioning,Heating & Air Conditioning,Starter,One Month,Marketing - Unpaid,0.536,0.37799999999999995,1,1.2,0,431.0,40252920211004
402533,2021-10-04,,2-6,Home Cleaning,Home Cleaning,Small,One Month,Sales,0.0,0.013000000000000001,0,1.6,0,431.0,40253320211004
402535,2021-10-08,,2-6,Heating & Air Conditioning,Heating & Air Conditioning,Starter,No Promo,Marketing - Unpaid,0.179,0.256,0,1.2,0,427.0,40253520211008
402538,2021-10-07,,0-1,Automotive,Other,Starter,One Month,Marketing - Paid,0.036000000000000004,0.121,0,0.8,0,428.0,40253820211007
